,Unnamed: 0,name,lat,lng,address,uid,shop_hours,price,service_rating,environment_rating,taste_rating,comment_num,image_num,tag,content_tag,overall_rating
0,0,竹若金枪鱼(陆家嘴店),31.24299713,121.4993653,陆家嘴环路1233号汇亚大厦1层M03单元,7ed68605aeed10fb4e5547be,"11:00-14:00,17:00-21:00",237,0,0,0,200,16,美食;外国餐厅,高大上;食材新鲜;停车方便;适合聚餐;味道不错;上菜很快;回头客;环境不错;菜品新鲜;服务热情;价格实惠;位置优越;份量足;交通便利;店面大;菜品丰富;人气旺,
1,1,朗月日本料理,31.23801356,121.4928602,上海市浦东新区拾步街富都世界富城路10号休闲街F1,defbae22685c6f1a7ec8763b,周一至周日10:00-23:00,71,3.45,3.85,3.55,160,34,美食;蛋糕甜品店,连锁;情侣约会;游客最爱;好友聚会;高大上;环境小资;现点现做;停车方便;家庭聚餐;高颜值;有单人餐;咖啡好大;食物精美;位置优越;人气旺;回头客;份量足;甜品丰富;味道不错;环境不错;食物新鲜;服务热情;价格实惠;亲子好去处;等餐时间短;店面大,4.1
2,2,连咖啡CoffeeBox(崂山路店),31.24056789,121.5114532,上海市浦东新区自由贸易试验区崂山路36号底层-2室,e2f8e96064cf1528ddee8b75,,,,,,,,美食;咖啡厅,,
3,3,中国人寿金融中心食堂,31.24303061,121.5064477,银城路88号5楼,1b23b47f7f8b0d870f0a7050,11:00-13:00,32,0,0,0,3,1,美食;其他,馄饨不错,
4,4,吉雅拉面(陆家嘴店),31.24036114,121.4977954,浦东新区世纪大道55号世纪浮庭2楼(近陆家嘴东路),bf29b7022b011d8009b93ac3,周一至周日11:00-22:00,33,3.15,3.2,3.05,45,21,美食;小吃快餐店,上菜很快;份量足;服务热情;价格实惠;人气旺;味道不错;环境不错;店面大;位置优越;近景点,3.5
5,5,LADY M(陆家嘴中心店),31.23315295,121.5112607,浦东南路899号负一层51号商铺,66f9205328c916039e9d6850,,,0,0,,50,2,购物;商铺,,4.2
6,6,豪华阁行政酒廊,31.2380019,121.4949087,富城路33号浦东香格里拉大酒店浦江楼,e7a36bc92bf843012b3a9f2d,,,0,0,0,,1,美食;酒吧,,
7,7,煲毛毛啫啫煲(上海环球金融中心店),31.23686041,121.5033336,世纪大道100号上海环球金融中心B2层,b7a387cbbb4d7d49a80dd858,,,,,,,,美食;中餐厅,,
8,8,远洋海皇旋转餐厅,31.24896665,121.4917943,东大名路378号远洋大厦28层,3be122e1c748554b1ff74da8,,,0,0,0,1,4,美食;中餐厅,近景点,5
9,9,平成屋(正大广场店),31.23853159,121.4936798,上海市浦东新区陆家嘴西路168号正大广场F8,45e07a4cf11f5fb443afe60d,"周一至周四 11:00-22:00,周五至周日 11:00-24:00",104,0,0,0,200,1,美食;外国餐厅,刺身很新鲜;味道不错;回头客;环境不错;上菜很快;价格实惠;菜品新鲜;人气旺;菜品丰富,3.9
