,Unnamed: 0,name,lat,lng,address,uid,shop_hours,price,service_rating,environment_rating,taste_rating,comment_num,image_num,tag,content_tag,overall_rating
0,0,竹若金枪鱼(陆家嘴店),31.24299713,121.4993653,陆家嘴环路1233号汇亚大厦1层M03单元,7ed68605aeed10fb4e5547be,"11:00-14:00,17:00-21:00",237,0,0,0,200,16,美食;外国餐厅,高大上;食材新鲜;停车方便;适合聚餐;味道不错;上菜很快;回头客;环境不错;菜品新鲜;服务热情;价格实惠;位置优越;份量足;交通便利;店面大;菜品丰富;人气旺,4.14
1,1,朗月日本料理,31.23801356,121.4928602,上海市浦东新区拾步街富都世界富城路10号休闲街F1,defbae22685c6f1a7ec8763b,周一至周日10:00-23:00,71,3.45,3.85,3.55,160,34,美食;蛋糕甜品店,连锁;情侣约会;游客最爱;好友聚会;高大上;环境小资;现点现做;停车方便;家庭聚餐;高颜值;有单人餐;咖啡好大;食物精美;位置优越;人气旺;回头客;份量足;甜品丰富;味道不错;环境不错;食物新鲜;服务热情;价格实惠;亲子好去处;等餐时间短;店面大,4.1
2,2,连咖啡CoffeeBox(崂山路店),31.24056789,121.5114532,上海市浦东新区自由贸易试验区崂山路36号底层-2室,e2f8e96064cf1528ddee8b75,周一至周五07:30-18:00 周六、周日08:00-18:00,31,,,,,,美食;咖啡厅,,3.91
3,3,中国人寿金融中心食堂,31.24303061,121.5064477,喜上德木桶饭+C17+H7,1b23b47f7f8b0d870f0a7050,11:00-13:00,32,0,0,0,3,1,美食;其他,馄饨不错,3.7
4,4,吉雅拉面(陆家嘴店),31.24036114,121.4977954,浦东新区世纪大道55号世纪浮庭2楼(近陆家嘴东路),bf29b7022b011d8009b93ac3,周一至周日11:00-22:00,33,3.15,3.2,3.05,45,21,美食;小吃快餐店,上菜很快;份量足;服务热情;价格实惠;人气旺;味道不错;环境不错;店面大;位置优越;近景点,3.5
5,5,LADY M(陆家嘴中心店),31.23315295,121.5112607,浦东南路899号负一层51号商铺,66f9205328c916039e9d6850,周一至周日10:00-22:00,95,0,0,,50,2,购物;商铺,,4.2
6,6,豪华阁行政酒廊,31.2380019,121.4949087,富城路33号浦东香格里拉大酒店浦江楼,e7a36bc92bf843012b3a9f2d,周一至周日08:00-22:00,199,0,0,0,,1,美食;酒吧,,4.56
7,7,煲毛毛啫啫煲(上海环球金融中心店),31.23686041,121.5033336,世纪大道100号上海环球金融中心B2层,b7a387cbbb4d7d49a80dd858,周一至周日11:00-20:00,40,,,,,,美食;中餐厅,,3.55
8,8,远洋海皇旋转餐厅,31.24896665,121.4917943,东大名路378号远洋大厦28层,3be122e1c748554b1ff74da8,周一至周五17:00-21:30 周六、周日11:00-14:00 17:00-21:30,308,0,0,0,1,4,美食;中餐厅,近景点,5
9,9,平成屋(正大广场店),31.23853159,121.4936798,上海市浦东新区陆家嘴西路168号正大广场F8,45e07a4cf11f5fb443afe60d,"周一至周四 11:00-22:00,周五至周日 11:00-24:00",104,0,0,0,200,1,美食;外国餐厅,刺身很新鲜;味道不错;回头客;环境不错;上菜很快;价格实惠;菜品新鲜;人气旺;菜品丰富,3.9
10,10,卤菜店(崂山菜场店),31.24022358,121.5107582,南泉北路33号上港小区,f69bd289fe59efea882fb5dd,10:00-21:30,28,0,0,0,,1,美食;小吃快餐店,,4.29
11,11,莉莲蛋挞(尚悦湾店),31.24374086,121.5061039,银城路66号尚悦湾商场地下1层LG101A-01单元,daa25b182ae46bda3b04b1fe,10:00-22:00,27,0,0,0,53,1,美食;蛋糕甜品店,肉松味很香;味道不错;环境不错;价格实惠,4.05
12,12,Delifrance枫黎舍(陆家嘴中心店),31.23335555,121.5109213,浦东南路899号上海陆家嘴中心L+MallLG31-A,26830e210a2509617dc876d4,10:00-22:00,68,0,0,,,1,购物;商铺,,4.4
13,13,上海国际会议中心-大堂吧,31.2412796,121.4920578,上海市浦东新区滨江大道2727号上海国际会议中心F1层,0254051c533794ffcf06a496,10:00-22:00,180,0,0,0,,1,美食;酒吧,,4.51
14,14,初山饭团(陆家嘴中心店),31.23333289,121.5109837,上海市浦东新区浦东南路899号(陆家嘴中心L+MallLG61-B),b5d4cfc8bffa362c3010af21,08:00-22:00,18,0,0,0,200,1,美食;小吃快餐店,饭团不错,4.14
15,15,喜上德木桶饭,31.24254168,121.5101971,上海市浦东新区陆家嘴街道昌邑路55号喜尚德,d486458c5d84acf3deee8bab,09:30-20:30,34,,,,,,美食;小吃快餐店,,4
16,16,上海金茂君悦大酒店-繁星厅,31.2370515,121.5013993,上海市浦东新区世纪大道88号金茂君悦大酒店53层,d997d1a8568ee7b9f5c59c26,06:30-20:00,327,0,0,0,,4,美食;中餐厅,服务热情;近景点,4.21
17,17,洋果(上海中心大厦店),31.23576321,121.5004726,上海市浦东新区陆家嘴银城中路501号上海中心大厦B2,24933696dd75905cf90cad02,10:00-19:00,66,0,0,0,,1,美食;小吃快餐店,近景点,4.73
18,18,太平洋咖啡(太平金融店),31.23611686,121.4989917,上海市浦东新区银城中路488号太平金融大厦1楼03商铺(近花园石桥路),64ff3be1e03a5ea290114cdc,周一至周五07:00-18:30 周六至周日09:00-18:00,31,3.55,3.55,3.5,111,32,美食;咖啡厅,连锁;干净卫生;高大上;咖啡不错;停车方便;回头客;位置优越;店面大;饮品丰富;环境优雅;味道不错;服务热情;交通便利;人气旺,4.4
19,19,马记永兰州牛肉面(环球金融中心店),31.23655258,121.5031002,上海市浦东新区东泰路与花园石桥路交叉路口东北侧(上海环球金融中心商场),6e8bd4ff1b87735975e5b6ee,周一至周日10:00-22:00,43,0,0,0,63,1,美食;小吃快餐店,辣椒好吃;近景点,4.4
20,20,新鲜果汁(上海之品商场店),31.23596012,121.5013359,陆家嘴环路479号上海中心·上海之品商场B2层,144568b8b8ff8829f4e73b8f,周一至周日9:00-21:30,23,,,,,,美食;蛋糕甜品店,,4.71
21,21,荟廷·晶萃(尚悦湾店),31.24356998,121.5060948,上海市浦东新区银城路66号尚悦湾广场4层418A室,6e42c218e93766ca2cb96dd2,11:00-16:30 17:00-21:30,174,0,0,0,96,4,美食;中餐厅,烧味拼盘不错;味道不错;现点现做;环境不错;人气旺;适合聚餐;价格实惠;口味偏淡;菜品精致;菜品丰富;菜品新鲜;近景点,4.2
